0:Off 1:On,Metadata,Attribute Code,Required,Feature Code,Geometry
0,0,ADI,M,AK120,A
0,0,ADI,M,AQ162,P
0,0,ADR,M,AT012,A
0,0,ADR,M,AT012,P
0,0,ADR,M,GB230,A
0,0,ADR,M,GB230,P
0,0,ADR,M,AK164,A
0,0,ADR,M,AK164,P
0,0,ADR,M,AK030,A
0,0,ADR,M,AK030,P
0,0,ADR,M,AL142,A
0,0,ADR,M,AL142,P
0,0,ADR,M,AJ085,A
0,0,ADR,M,AJ085,P
0,0,ADR,M,EA031,A
0,0,ADR,M,AL013,A
0,0,ADR,M,AL013,P
0,0,ADR,M,AI030,A
0,0,ADR,M,AI030,P
0,0,ADR,M,SU004,A
0,0,ADR,M,AI020,A
0,0,ADR,M,AL375,A
0,0,ADR,M,AL375,P
0,0,ADR,M,AL376,A
0,0,ADR,M,AL376,P
0,0,ADR,M,AL030,A
0,0,ADR,M,AL030,P
0,0,ADR,M,AQ060,A
0,0,ADR,M,AQ060,P
0,0,ADR,M,AD055,A
0,0,ADR,M,AD055,P
0,0,ADR,M,AK070,A
0,0,ADR,M,AD010,A
0,0,ADR,M,AD010,P
0,0,ADR,M,AL010,A
0,0,ADR,M,AL010,P
0,0,ADR,M,AK090,A
0,0,ADR,M,AQ080,A
0,0,ADR,M,AQ080,P
0,0,ADR,M,AH055,A
0,0,ADR,M,AH055,P
0,0,ADR,M,AM075,A
0,0,ADR,M,AM075,P
0,0,ADR,M,AK100,A
0,0,ADR,M,AK101,A
0,0,ADR,M,AM030,A
0,0,ADR,M,AM030,P
0,0,ADR,M,AJ110,A
0,0,ADR,M,AJ110,P
0,0,ADR,M,GB250,A
0,0,ADR,M,GB250,P
0,0,ADR,M,AD050,A
0,0,ADR,M,AD050,P
0,0,ADR,M,AL099,A
0,0,ADR,M,AL099,P
0,0,ADR,M,AC040,A
0,0,ADR,M,AC040,P
0,0,ADR,M,AL270,A
0,0,ADR,M,AL270,P
0,0,ADR,M,AL011,A
0,0,ADR,M,AL011,P
0,0,ADR,M,AL201,A
0,0,ADR,M,AL201,P
0,0,ADR,M,BC050,A
0,0,ADR,M,BC050,P
0,0,ADR,M,AL371,A
0,0,ADR,M,AL371,P
0,0,ADR,M,AI021,A
0,0,ADR,M,SU001,A
0,0,ADR,M,SU001,P
0,0,ADR,M,AQ170,A
0,0,ADR,M,AQ170,P
0,0,ADR,M,AM065,A
0,0,ADR,M,AM065,P
0,0,ADR,M,AG040,A
0,0,ADR,M,AK120,A
0,0,ADR,M,AQ141,A
0,0,ADR,M,AQ141,P
0,0,ADR,M,EA030,A
0,0,ADR,M,BB009,A
0,0,ADR,M,BB009,P
0,0,ADR,M,AD030,A
0,0,ADR,M,AD030,P
0,0,ADR,M,AL170,A
0,0,ADR,M,AL170,P
0,0,ADR,M,AQ116,A
0,0,ADR,M,AQ116,P
0,0,ADR,M,AK130,A
0,0,ADR,M,AK130,L
0,0,ADR,M,AT045,A
0,0,ADR,M,AT045,P
0,0,ADR,M,AN060,A
0,0,ADR,M,AQ135,A
0,0,ADR,M,AQ135,P
0,0,ADR,M,AN076,A
0,0,ADR,M,AN076,P
0,0,ADR,M,AC507,A
0,0,ADR,M,AC507,P
0,0,ADR,M,AL019,A
0,0,ADR,M,AL019,P
0,0,ADR,M,BB241,A
0,0,ADR,M,BB241,P
0,0,ADR,M,AG030,A
0,0,ADR,M,BB201,A
0,0,ADR,M,BB201,P
0,0,ADR,M,AD025,A
0,0,ADR,M,AD025,P
0,0,ADR,M,AL351,A
0,0,ADR,M,AL351,P
0,0,ADR,M,AJ080,A
0,0,ADR,M,AJ080,P
0,0,ADR,M,AK160,A
0,0,ADR,M,AK160,P
0,0,ADR,M,AM010,A
0,0,ADR,M,AM010,P
0,0,ADR,M,AM060,A
0,0,ADR,M,AM060,P
0,0,ADR,M,AK170,A
0,0,ADR,M,AK170,P
0,0,ADR,M,AM071,A
0,0,ADR,M,AM071,P
0,0,ADR,M,FA165,A
0,0,ADR,M,FA165,P
0,0,ADR,M,AQ125,A
0,0,ADR,M,AQ125,P
0,0,ADR,M,AL250,P
0,0,ADR,M,AQ140,A
0,0,ADR,M,AJ055,A
0,0,ADR,M,AJ055,P
0,0,ADR,M,BH220,A
0,0,ADR,M,BH220,P
0,0,ADR,M,AD060,A
0,0,ADR,M,AD060,P
0,0,ADR,M,AK180,A
0,0,ADR,M,AK180,P
0,0,AHA,M,ZI031,A
0,0,AMA,M,AK020,A
0,0,AMA,M,AK020,L
0,0,AMA,M,AK020,P
0,0,AOO,M,AT011,P
0,0,AOO,M,AT012,A
0,0,AOO,M,AT012,P
0,0,AOO,M,GB230,A
0,0,AOO,M,GB230,P
0,0,AOO,M,AK164,A
0,0,AOO,M,AK164,P
0,0,AOO,M,AK030,A
0,0,AOO,M,AK030,P
0,0,AOO,M,AK020,A
0,0,AOO,M,AK020,L
0,0,AOO,M,AK020,P
0,0,AOO,M,AQ151,A
0,0,AOO,M,AQ151,L
0,0,AOO,M,AL012,A
0,0,AOO,M,AL012,P
0,0,AOO,M,AL142,A
0,0,AOO,M,AL142,P
0,0,AOO,M,AJ085,A
0,0,AOO,M,AJ085,P
0,0,AOO,M,BI045,L
0,0,AOO,M,BI045,P
