"Attribute Code","Attribute Name","FCODE","Feature Name","Geometry","Sentinel Value","Sentinel Value Occurrences","Attribute Occurrences This FCODE","Total Attribute Occurrences","Percent Sentinel Values","Cumulative Sentinel Values This Attribute","Cumulative Percent Sentinel Values"
"ADR","Address","AL013","Building","Surface","noInformation",9,9,9,100.0,9,100.0
"AHA","Absolute Horizontal Accuracy (90%)","AL014","Non-building Structure","Surface","-999999.000000",6,6,695,0.9,6,0.9
"AHA","Absolute Horizontal Accuracy (90%)","AP030","Road","Curve","-999999.000000",674,674,695,97.0,680,97.8
"AHA","Absolute Horizontal Accuracy (90%)","AQ040","Bridge","Curve","-999999.000000",6,6,695,0.9,686,98.7
"AHA","Absolute Horizontal Accuracy (90%)","AL013","Building","Surface","-999999.000000",9,9,695,1.3,695,100.0
"AOO","Angle of Orientation","AL014","Non-building Structure","Surface","-999999.000000",6,6,21,28.6,6,28.6
"AOO","Angle of Orientation","AQ040","Bridge","Curve","-999999.000000",6,6,21,28.6,12,57.1
"AOO","Angle of Orientation","AL013","Building","Surface","-999999.000000",9,9,21,42.9,21,100.0
"ARA","Area","AL014","Non-building Structure","Surface","-999999.000000",6,6,695,0.9,6,0.9
"ARA","Area","AP030","Road","Curve","-999999.000000",674,674,695,97.0,680,97.8
"ARA","Area","AQ040","Bridge","Curve","-999999.000000",6,6,695,0.9,686,98.7
"ARA","Area","AL013","Building","Surface","-999999.000000",9,9,695,1.3,695,100.0
"BCC","Bypass Condition","AQ040","Bridge","Curve","No Information",6,6,6,100.0,6,100.0
"BNF","Floor Count","AL013","Building","Surface","-999999",9,9,9,100.0,9,100.0
"BOT","Bridge Opening Type","AQ040","Bridge","Curve","No Information",6,6,6,100.0,6,100.0
"BRN","Bridge Reference Number","AQ040","Bridge","Curve","noInformation",6,6,6,100.0,6,100.0
"BSC2","Bridge Structure Type [2]","AQ040","Bridge","Curve","No Information",6,6,6,100.0,6,100.0
"BSC3","Bridge Structure Type [3]","AQ040","Bridge","Curve","No Information",6,6,6,100.0,6,100.0
"BSC","Bridge Structure Type","AQ040","Bridge","Curve","No Information",6,6,6,100.0,6,100.0
"BSM","Mobile Bridge Span","AQ040","Bridge","Curve","No Information",6,6,6,100.0,6,100.0
"CAA","Controlling Authority","AL014","Non-building Structure","Surface","No Information",6,6,695,0.9,6,0.9
"CAA","Controlling Authority","AP030","Road","Curve","No Information",674,674,695,97.0,680,97.8
"CAA","Controlling Authority","AQ040","Bridge","Curve","No Information",6,6,695,0.9,686,98.7
"CAA","Controlling Authority","AL013","Building","Surface","No Information",9,9,695,1.3,695,100.0
"CCN","Commercial Copyright Notice","AL014","Non-building Structure","Surface","noInformation",6,6,695,0.9,6,0.9
"CCN","Commercial Copyright Notice","AP030","Road","Curve","noInformation",674,674,695,97.0,680,97.8
"CCN","Commercial Copyright Notice","AQ040","Bridge","Curve","noInformation",6,6,695,0.9,686,98.7
"CCN","Commercial Copyright Notice","AL013","Building","Surface","noInformation",9,9,695,1.3,695,100.0
"CDR","Commercial Distribution Restriction","AL014","Non-building Structure","Surface","noInformation",6,6,695,0.9,6,0.9
"CDR","Commercial Distribution Restriction","AP030","Road","Curve","noInformation",674,674,695,97.0,680,97.8
"CDR","Commercial Distribution Restriction","AQ040","Bridge","Curve","noInformation",6,6,695,0.9,686,98.7
"CDR","Commercial Distribution Restriction","AL013","Building","Surface","noInformation",9,9,695,1.3,695,100.0
"CWT","Contained within Tunnel","AP030","Road","Curve","No Information",674,674,674,100.0,674,100.0
"DEV","Deck Level","AP030","Road","Curve","-999999",674,674,674,100.0,674,100.0
"DZC","Deck Count","AQ040","Bridge","Curve","-999999",6,6,6,100.0,6,100.0
"FCO","Feature Configuration","AP030","Road","Curve","No Information",674,674,674,100.0,674,100.0
"FFN2","Feature Function [2]","AL013","Building","Surface","No Information",9,9,9,100.0,9,100.0
"FFN3","Feature Function [3]","AL013","Building","Surface","No Information",9,9,9,100.0,9,100.0
"FSC","Flight Strip Capable","AP030","Road","Curve","No Information",674,674,674,100.0,674,100.0
"HCA","Horizontal Clearance","AQ040","Bridge","Curve","-999999.000000",6,6,6,100.0,6,100.0
"HGT","Height Above Surface Level","AL014","Non-building Structure","Surface","-999999.000000",6,6,21,28.6,6,28.6
"HGT","Height Above Surface Level","AQ040","Bridge","Curve","-999999.000000",6,6,21,28.6,12,57.1
